,Name,Parliament
18,Hermanus Adrianus Nebbens Sterling,1896-1899
19,Anthony Ewoud Jan Nysingh,1896-1899
20,Cornelis Pijnacker Hordijk,1896-1899
21,Adrianus Prins,1896-1899
22,Eduard Nicolaas Rahusen,1896-1899
23,Jan Hendrik Frans Karel van Swinderen,1896-1899
24,Gijsbert van Tienhoven tot 28 januari 1897,1896-1899
25,Sjoerd Vening Meinesz,1896-1899
26,Theodorus Pieter Viruly,1896-1899
27,Benjamin Marius Vlielander Hein,1896-1899
28,Wilco Julius van Welderen Rengers,1896-1899
29,Derk Knol Welt,1896-1899
30,Abraham Carel Wertheim tot 29 november 1897,1896-1899
31,Willem Cornelis Johannes Josephus Cremers,1896-1899
32,Léon Armand Hyacinthe Magnée,1896-1899
33,Willem Merkelbach,1896-1899
34,Leo van Nispen,1896-1899
35,Franciscus Xaverius Jacobus van Nispen tot Pannerden tot 28 april 1899,1896-1899
36,Willem Prinzen Fzn.,1896-1899
37,Willem Hubert Pyls,1896-1899
38,Frederic Joseph Maria Anton Reekers,1896-1899
39,Hubert Gérard Louis Regout,1896-1899
40,Alphonsus Maria Sassen,1896-1899
41,Petrus Johannes Antonius Smitz tot 19 september 1896,1896-1899
42,Johannes Baptista Arnoldus Josephus Maria Verheyen tot 10 januari 1898,1896-1899
43,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1896-1899
44,Titus van Asch van Wijck,1896-1899
45,Derck Engelberts tot 13 januari 1897,1896-1899
46,Robert Melvil van Lynden,1896-1899
47,Karel Antonie Godin de Beaufort,1896-1899
48,Jan Elias Nicolaas Schimmelpenninck van der Oye,1896-1899
49,Willem Constantijn van Pallandt van Waardenburg,1896-1899
50,Cornelis Jacob Sickesz van 1 december 1896 tot 10 januari 1898,1896-1899
51,Dirk Laan vanaf 5 april 1897,1896-1899
52,Jan Willem Hendrik Rutgers van Rozenburg vanaf 5 januari 1898,1896-1899
53,Joan Röell vanaf 26 maart 1898,1896-1899
54,Frederik Bernard s' Jacob vanaf 20 september 1898,1896-1899
55,Jacob Willem van den Biesen vanaf 1 december 1896,1896-1899
