,Regio,Type,sub_election,RegioCode,RegioUitslag,Kandidaat,AantalStemmen,main_election,Electoraat,Geldig,no_of_candidates,number,voteshare,politician,seats,minvswinner,maxvswinner,margin,overleden,plaats,archiefnummer,found,opmerking,bron,,
2168,Amsterdam,algemeen,1894-04-10,KD72,,H.W. van Marle,1174,1894-04-10,23112,82016,32,24,0.01431428014046,0,9,0.064133827545845,0.074948790479906,0.049819547405384,,,,,,,,
2170,Amsterdam,algemeen,1894-04-10,KD72,,B.J. Lindeboom,1090,1894-04-10,23112,82016,32,26,0.013290089738588,0,9,0.064133827545845,0.074948790479906,0.050843737807257,,,,,,,,
2176,Amsterdam,algemeen,1894-04-10,KD72,,T. Mackay,584,1894-04-10,23112,82016,32,32,0.007120561841592,0,9,0.064133827545845,0.074948790479906,0.057013265704253,,,,,,,,
2185,Amsterdam,herstemming,1864-06-28,KD72,,J.J.A. Santhagens,1152,1864-06-14,4441,5033,4,4,0.228889330419233,0,2,0.26445459964236,0.264653288297238,0.035565269223127,,,,,,,,
2203,Amsterdam,herstemming,1871-06-27,KD72,,J.P. de Bordes,994,1871-06-13,3959,2011,2,2,0.494281452013923,0,1,0.505718547986077,0.505718547986077,0.011437095972154,,,,,,,,
2299,Amsterdam,periodiek,1862-06-10,KD72,,J.D. van Herwerden,506,1862-06-10,4570,4222,5,4,0.119848413074372,0,3,0.178825201326386,0.325911890099479,0.058976788252014,,,,,,,,
2310,Amsterdam,periodiek,1864-06-14,KD72,,J.J.A. Santhagens,695,1864-06-14,4441,5240,8,5,0.13263358778626,0,3,0.213358778625954,0.213358778625954,0.080725190839694,,,,,,,,
2334,Amsterdam,periodiek,1869-06-08,KD72,,G.C.C. Pels Rijcken,767,1869-06-08,3964,7110,9,5,0.107876230661041,0,3,0.191279887482419,0.214345991561181,0.083403656821378,,,,,,,,
2335,Amsterdam,periodiek,1869-06-08,KD72,,H.A. Hartogh,721,1869-06-08,3964,7110,9,6,0.1014064697609,0,3,0.191279887482419,0.214345991561181,0.089873417721519,,,,,,,,
2347,Amsterdam,periodiek,1871-06-13,KD72,,J.P. de Bordes,1127,1871-06-13,3959,7223,9,4,0.156029350685311,0,3,0.168351100650699,0.17471964557663,0.012321749965388,,,,,,,,
2362,Amsterdam,periodiek,1873-06-10,KD72,,A.J.H. van der Toorn,378,1873-06-10,4019,4635,8,5,0.081553398058252,0,3,0.179935275080906,0.267745415318231,0.098381877022654,,,,,,,,
2365,Amsterdam,periodiek,1873-06-10,KD72,,W. von Wrangel auf Lindenberg,166,1873-06-10,4019,4635,8,8,0.035814455231931,0,3,0.179935275080906,0.267745415318231,0.144120819848975,,,,,,,,
