"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Dordrecht","22","1","1868","algemeen","2231","1740","1741","3391","55"
"Gorinchem","22","1","1868","algemeen","3101","2109","2108","4142","64"
"Middelburg","22","1","1868","algemeen","2716","1991","1992","3931","35"
"Goes","22","1","1868","algemeen","1421","1072","1072","1063","8"
"Zierikzee","22","1","1868","algemeen","1297","993","994","981","10"
"Breda","22","1","1868","algemeen","3861","2650","2650","5187","89"
"Tilburg","22","1","1868","algemeen","3199","1778","1779","3478","76"
"Eindhoven","22","1","1868","algemeen","2344","1663","1664","3249","67"
"Maastricht","22","1","1868","algemeen","2655","2080","2081","4047","95"
"Roermond","22","1","1868","algemeen","2186","1661","1660","3009","307"
"Boxmeer","22","1","1868","algemeen","1286","921","921","912","7"
"Den Bosch","22","1","1868","algemeen","2964","2093","2097","4161","29"
"Almelo","4","2","1868","herstemming","1974","1720","1720","1701","13"
"Arnhem","4","2","1868","herstemming","3022","2505","2506","4964","40"
"Alkmaar","4","2","1868","herstemming","3232","2507","2509","2496","8"
"Haarlem","4","2","1868","herstemming","2504","1908","1909","1905","17"
"Leiden","4","2","1868","herstemming","2655","1515","1516","1510","5"
"Delft","4","2","1868","herstemming","2842","2213","2215","4354","56"
"Breda","4","2","1868","herstemming","3861","2832","2834","2780","10"
"Roermond","4","2","1868","herstemming","2186","1700","1700","1685","14"
"Amsterdam","13","2","1868","tussentijds","4322","2534","2534","2530","2"
"Groningen","20","2","1868","tussentijds","1507","1024","1024","1020","4"
"Haarlem","25","2","1868","tussentijds","2504","1685","1686","1674","6"
"Haarlem","10","3","1868","herstemming","2504","2023","2024","2007","14"
"Appingedam","31","3","1868","tussentijds","3113","1584","1584","1576","7"
"Appingedam","14","4","1868","herstemming","3113","1741","1742","1722","15"
"Dordrecht","23","6","1868","tussentijds","2231","1645","1645","1622","10"
"Dordrecht","7","7","1868","herstemming","2231","2005","2005","1984","15"
"Gorinchem","15","12","1868","tussentijds","3101","2215","2216","2190","12"
"Gorinchem","29","12","1868","herstemming","3101","2161","2161","2105","48"
"Groningen","16","2","1869","tussentijds","1507","534","534","528","3"
"Haarlem","16","2","1869","tussentijds","2504","1490","1490","1481","8"
"Zuidhorn","24","3","1869","tussentijds","1368","531","531","529","2"
"Zuidhorn","7","4","1869","herstemming","1368","632","632","631","1"
"Boxmeer","4","5","1869","tussentijds","1286","683","683","654","23"
"Zuidhorn","8","6","1869","periodiek","1417","736","736","725","0"
"Appingedam","8","6","1869","periodiek","2868","1394","1394","1383","4"
"Winschoten","8","6","1869","periodiek","1199","469","469","463","5"
"Assen","8","6","1869","periodiek","2161","823","823","804","8"
"Leeuwarden","8","6","1869","periodiek","2887","1708","1708","1697","10"
"Sneek","8","6","1869","periodiek","3989","2817","2817","5593","37"
"Dokkum","8","6","1869","periodiek","2478","1646","1646","1635","6"
"Zwolle","8","6","1869","periodiek","2625","1945","1945","1930","6"
"Almelo","8","6","1869","periodiek","2071","1911","1912","1898","8"
"Deventer","8","6","1869","periodiek","2725","1828","1828","1815","11"
"Zutphen","8","6","1869","periodiek","2837","2313","2313","2290","14"
"Arnhem","8","6","1869","periodiek","2745","2189","2189","2171","13"
"Nijmegen","8","6","1869","periodiek","2413","1921","1921","1903","9"
